游族网络,客服经理,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,（高级）系统策划,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,（高级）系统策划,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,数据分析师-战神,0.7-1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,业务拓展经理/总监（Mob云事业部）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,场景原画设计师,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,主策划（偏数值方向）,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,运营主管,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,3D模型,0.8-1.6万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,3D动作,0.8-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,3D动作,0.8-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Cocos2d-x开发主程序,1.6-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,政府项目经理,0.6-1.1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Flash页游主程（AS3主程）,2.5-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Android移动开发工程师,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,产品经理（游戏）,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,主策划（偏数值）,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,iOS移动开发工程师,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,游戏研发策划,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,（资深）数据开发,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,海外市场品牌总监（环球工作室）,3-3.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,公关传播总监,3-4万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,数据分析专家,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,资深文案宣传,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级运营策划（版本管理方向）（星火工作室）,0.8-1.3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,系统策划（二次元）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级运营策划（版本管理方向）,0.8-1.3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,市场文案,0.7-1.2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,美术指导(角色原画类),2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Senior Business Assistant to Chief Product Officer,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,机器学习算法工程师——计算广告学,2-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,游戏测试工程师,0.8-1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,平面设计师,0.8-1.2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级大数据产品经理,2-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,综合客服,0.8-1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,测试经理（战神工作室）,1.8-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
