昆明赛锐商务咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),,昆明市新迎小区胜利花园一期中行宿舍31幢1单元602,
云南宝凯药业有限公司,民营公司,少于50人,医疗/护理/卫生,医疗/护理/卫生,昆明市棕树营中心组团8-4,
杭州海翠翡琳科技有限公司,民营公司,50-150人,服装/纺织/皮革,批发/零售,杭州市萧山区启迪路198号杭州湾信息港C809,
深圳市克瑞斯通信设备有限公司,民营公司,50-150人,通信/电信/网络设备,通信/电信/网络设备,深圳市南山区沙河西路3181号茶光工业区12栋4楼,
江苏隆力奇生物科技股份有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),美容/保健,郑州市花园路与农业路,
现代重工（中国）电气有限公司,,500-1000人,电子技术/半导体/集成电路,机械/设备/重工,下城区中山北路607号现代城建大厦811室,
广州泰司克贸易发展有限公司,合资,少于50人,贸易/进出口,石油/化工/矿产/地质,天河区林和西路3-15号耀中广场B座915室,
上海瀚聪文化传播有限公司,民营公司,50-150人,互联网/电子商务,互联网/电子商务,上海市中山北一路1200号新光大厦2号楼205室,
北京思明博学科技有限公司,民营公司,少于50人,互联网/电子商务,,北京朝阳区小关北里渔阳大厦B705室,
北京华夏安信科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,专业服务(咨询、人力资源、财会),北京市东城区大雅宝路1号梓峰大厦4008室,
天纳克同泰（大连）排气系统有限公司,,,汽车及零配件,,0,
上海仕邦复合塑料有限公司,外资（非欧美）,少于50人,原材料和加工,,上海市松江区仓桥工业区玉秀路89号8号厂房,
再清椿美容连锁机构,民营公司,50-150人,美容/保健,,大连市中山区友好路105号曼哈顿大厦A座1211室,
杭州冠捷体育用品有限公司,民营公司,500-1000人,批发/零售,批发/零售,杭州市建国北路639号华源发展大厦1801,
北京资旗源科技有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),,北京市石景山区阜石路166号泽洋大厦310,
青岛宏达国际货运代理有限公司,民营公司,少于50人,交通/运输/物流,交通/运输/物流,青岛市南区香港中路10号,
上海嘉绮德会展服务有限公司,外资（非欧美）,少于50人,公关/市场推广/会展,酒店/旅游,上海市普陀区长寿路1118号A座22楼A室,
中山市小榄镇华邦纸品工艺厂,,,印刷/包装/造纸,家具/家电/玩具/礼品,广东中山小榄镇永宁洪联东二路1号（联系地址）,
青岛市友和信航空商旅服务有限公司,民营公司,少于50人,航天/航空,酒店/旅游,市北区山东路118号环宇康庭2号楼1206,
北京铁工经贸公司,国企,500-1000人,物业管理/商业中心,,海淀区西四环中路16号。中国南车集团,
深圳市智尊策略企业管理顾问工作室,,少于50人,专业服务(咨询、人力资源、财会),广告,龙岗区南湾街道南岭村社区南晶小区一巷1号14楼I号,
坚力电子（东莞）有限公司,,,电子技术/半导体/集成电路,,0,
上海佳普国际贸易有限公司,,少于50人,贸易/进出口,贸易/进出口,上海市三泉路1858弄27号1702室,
济南好江南经贸有限公司,民营公司,少于50人,快速消费品(食品、饮料、化妆品),快速消费品(食品、饮料、化妆品),济南市金色阳光花园10号楼2单元1101室,
陕西威格实业有限公司,民营公司,少于50人,建筑/建材/工程,建筑/建材/工程,高新路25号瑞欣大厦,
武汉威视安防有限责任公司,民营公司,少于50人,计算机软件,,武汉市东湖开发区关山二路特一号国际企业中心1栋,
上海龙博求信食品技术咨询服务有限公司,外资（欧美）,少于50人,专业服务(咨询、人力资源、财会),,陕西北路600号302B,
广州真巧食品有限公司,外资（非欧美）,500-1000人,快速消费品(食品、饮料、化妆品),快速消费品(食品、饮料、化妆品),0,
成都东创能源设备有限公司,民营公司,150-500人,石油/化工/矿产/地质,石油/化工/矿产/地质,成都市武侯区人民南路四段27号商鼎国际1-1-608,
深圳平安物业投资管理有限公司大连分公司,,500-1000人,物业管理/商业中心,金融/投资/证券,大连市中山区人民路24号平安大厦27层人事行政部,
青岛市外国企业服务总公司,,,中介服务,,济南市人才市场（济南市经十路239号五里牌坊）,
上海长贵实业发展有限公司,民营公司,少于50人,快速消费品(食品、饮料、化妆品),教育/培训/院校,上海市南汇区六灶镇会龙路893号,
上海宏思设计工程有限公司,,50-150人,建筑/建材/工程,家居/室内设计/装潢,闵行,
易宝生物商城,民营公司,少于50人,制药/生物工程,互联网/电子商务,上海张江高科技园区达尔文路88号2-401,
上海爱璞企业管理咨询有限公司,外资（欧美）,150-500人,专业服务(咨询、人力资源、财会),,上海市闵行区吴中路1050号15幢-1710,
合肥瑞中职业培训学校,,50-150人,教育/培训/院校,教育/培训/院校,合肥市长江中路金城大厦,
大连越东洋网络科技发展有限公司,民营公司,50-150人,互联网/电子商务,计算机服务(系统、数据服务、维修),0,
上海娇云日化有限公司,,少于50人,快速消费品(食品、饮料、化妆品),,沈阳市东陵区文化东路9-2-311 （第五大道花园17号楼3-1-1）,
北京凯达弘升咨询有限公司,国企,500-1000人,专业服务(咨询、人力资源、财会),金融/投资/证券,北京市西城区西直门中仪大厦8层,
北京联华为创科技有限公司,,50-150人,通信/电信/网络设备,计算机服务(系统、数据服务、维修),北京市海淀区海淀路19-1号中成大厦7层（北大南门斜对面）（公司地址）,
广州市绿玉晶商贸有限公司,民营公司,50-150人,快速消费品(食品、饮料、化妆品),美容/保健,广州市白云区汇侨新城,
北京国豪文化发展中心,民营公司,少于50人,文字媒体/出版,文字媒体/出版,石景山区鲁谷南路26号展龙大厦,
上海恒询通网络科技发展有限公司,,50-150人,互联网/电子商务,计算机软件,0,
上海弘展贸易有限公司,外资（非欧美）,少于50人,服装/纺织/皮革,服装/纺织/皮革,天山路789弄西楼804室,
西安易麦网络科技发展有限公司,民营公司,少于50人,互联网/电子商务,,西安市高新区锦业路38号粤汉国际A座1406室,
